bone_name,parent,length,num_children,is_end
pelvis,,6.985607,4,0
cc_base_pelvis,pelvis,6.985611,0,1
spine_01,pelvis,4.124028,1,0
spine_02,spine_01,12.920698,1,0
spine_03,spine_02,21.953050,5,0
neck_01,spine_03,6.427552,2,0
cc_base_necktwist02,neck_01,6.427551,0,1
head,neck_01,0.234503,1,0
cc_base_facialbone,head,8.263278,4,0
cc_base_jawroot,cc_base_facialbone,3.246552,2,0
cc_base_tongue01,cc_base_jawroot,1.248975,1,0
cc_base_tongue02,cc_base_tongue01,1.770200,1,0
cc_base_tongue03,cc_base_tongue02,1.770204,0,1
cc_base_teeth02,cc_base_jawroot,3.246564,0,1
cc_base_r_eye,cc_base_facialbone,8.263279,0,1
cc_base_l_eye,cc_base_facialbone,8.263278,0,1
cc_base_upperjaw,cc_base_facialbone,0.703051,1,0
cc_base_teeth01,cc_base_upperjaw,0.703047,0,1
clavicle_l,spine_03,12.549188,1,0
upperarm_l,clavicle_l,14.014275,2,0
lowerarm_l,upperarm_l,9.096091,4,0
cc_base_l_forearmtwist01,lowerarm_l,9.096092,0,1
cc_base_l_elbowsharebone,lowerarm_l,9.096094,0,1
hand_l,lowerarm_l,8.539821,5,0
pinky_01_l,hand_l,3.236842,1,0
pinky_02_l,pinky_01_l,1.932083,1,0
pinky_03_l,pinky_02_l,1.932083,0,1
ring_01_l,hand_l,4.237416,1,0
ring_02_l,ring_01_l,2.443645,1,0
ring_03_l,ring_02_l,2.443644,0,1
middle_01_l,hand_l,4.692708,1,0
middle_02_l,middle_01_l,2.820391,1,0
middle_03_l,middle_02_l,2.820393,0,1
index_01_l,hand_l,4.218377,1,0
index_02_l,index_01_l,2.666788,1,0
index_03_l,index_02_l,2.666785,0,1
thumb_01_l,hand_l,6.224952,1,0
thumb_02_l,thumb_01_l,2.900496,1,0
thumb_03_l,thumb_02_l,2.900499,0,1
lowerarm_twist_01_l,lowerarm_l,9.096088,0,1
upperarm_twist_01_l,upperarm_l,13.927425,1,0
cc_base_l_upperarmtwist02,upperarm_twist_01_l,13.927424,0,1
cc_base_l_ribstwist,spine_03,2.000002,1,0
cc_base_l_breast,cc_base_l_ribstwist,2.000002,0,1
cc_base_r_ribstwist,spine_03,1.999997,1,0
cc_base_r_breast,cc_base_r_ribstwist,1.999997,0,1
clavicle_r,spine_03,12.550658,1,0
upperarm_r,clavicle_r,14.014333,2,0
lowerarm_r,upperarm_r,9.095832,4,0
cc_base_r_elbowsharebone,lowerarm_r,9.095831,0,1
cc_base_r_forearmtwist01,lowerarm_r,9.095831,0,1
hand_r,lowerarm_r,8.539839,5,0
ring_01_r,hand_r,4.236889,1,0
ring_02_r,ring_01_r,2.443597,1,0
ring_03_r,ring_02_r,2.443595,0,1
middle_01_r,hand_r,4.692689,1,0
middle_02_r,middle_01_r,2.820367,1,0
middle_03_r,middle_02_r,2.820371,0,1
thumb_01_r,hand_r,6.224967,1,0
thumb_02_r,thumb_01_r,2.900774,1,0
thumb_03_r,thumb_02_r,2.900772,0,1
index_01_r,hand_r,4.218364,1,0
index_02_r,index_01_r,2.666744,1,0
index_03_r,index_02_r,2.666741,0,1
pinky_01_r,hand_r,3.236577,1,0
pinky_02_r,pinky_01_r,1.932188,1,0
pinky_03_r,pinky_02_r,1.932184,0,1
lowerarm_twist_01_r,lowerarm_r,9.095830,0,1
upperarm_twist_01_r,upperarm_r,13.927428,1,0
cc_base_r_upperarmtwist02,upperarm_twist_01_r,13.927428,0,1
thigh_l,pelvis,20.803098,3,0
calf_l,thigh_l,16.921786,4,0
foot_l,calf_l,15.240747,2,0
cc_base_l_toebasesharebone,foot_l,15.240748,0,1
ball_l,foot_l,3.009872,5,0
cc_base_l_pinkytoe1,ball_l,3.009872,0,1
cc_base_l_ringtoe1,ball_l,3.009871,0,1
cc_base_l_midtoe1,ball_l,3.009872,0,1
cc_base_l_indextoe1,ball_l,3.009872,0,1
cc_base_l_bigtoe1,ball_l,3.009872,0,1
calf_twist_01_l,calf_l,16.921785,0,1
cc_base_l_kneesharebone,calf_l,16.921786,0,1
cc_base_l_calftwist02,calf_l,16.921785,0,1
thigh_twist_01_l,thigh_l,20.803097,0,1
cc_base_l_thightwist02,thigh_l,20.803099,0,1
thigh_r,pelvis,20.803031,3,0
calf_r,thigh_r,16.921417,4,0
cc_base_r_kneesharebone,calf_r,16.921415,0,1
foot_r,calf_r,15.240351,2,0
ball_r,foot_r,3.010302,5,0
cc_base_r_bigtoe1,ball_r,3.010303,0,1
cc_base_r_pinkytoe1,ball_r,3.010303,0,1
cc_base_r_ringtoe1,ball_r,3.010302,0,1
cc_base_r_indextoe1,ball_r,3.010302,0,1
cc_base_r_midtoe1,ball_r,3.010303,0,1
cc_base_r_toebasesharebone,foot_r,15.240352,0,1
calf_twist_01_r,calf_r,16.921417,0,1
cc_base_r_calftwist02,calf_r,16.921416,0,1
thigh_twist_01_r,thigh_r,20.803030,0,1
cc_base_r_thightwist02,thigh_r,20.803032,0,1
ik_foot_root,,20.358150,2,0
ik_foot_r,ik_foot_root,20.358151,0,1
ik_foot_l,ik_foot_root,20.358152,0,1
ik_hand_root,,120.610779,1,0
ik_hand_gun,ik_hand_root,53.468287,2,0
ik_hand_r,ik_hand_gun,53.468292,0,1
ik_hand_l,ik_hand_gun,53.468290,0,1
